width	reads.per.mb.bpr	type
9507	350	diploid
71764	350	diploid
62519	350	diploid
30817	350	diploid
29272	350	diploid
860	350	diploid
26559	350	diploid
26931	350	diploid
3829	350	diploid
4618	350	diploid
7439	350	diploid
26305	350	diploid
786	350	diploid
53300	350	diploid
124648	350	diploid
261269	350	diploid
14112	350	diploid
3382	350	diploid
12272	350	diploid
618	350	diploid
3180	350	diploid
3117	350	diploid
13299	350	diploid
35334	350	diploid
5177	350	diploid
5434	350	diploid
6536	350	diploid
193764	350	diploid
2829	350	diploid
65835	350	diploid
1334	350	diploid
20256	350	diploid
15095676	350	diploid
3594	350	diploid
11715	350	diploid
6360	350	diploid
3128	350	diploid
27544	350	diploid
7187	350	diploid
49637	350	diploid
11990	168	diploid
48003	168	diploid
964	168	diploid
54079	168	diploid
14077	168	diploid
62321	168	diploid
193869	168	diploid
6629	168	diploid
134681	168	diploid
227337	168	diploid
5778	168	diploid
181520	168	diploid
535044	168	diploid
24021	168	diploid
106749	168	diploid
240522	168	diploid
522807	168	diploid
105223	168	diploid
52009	168	diploid
21164	168	diploid
412510	168	diploid
453248	168	diploid
73626	168	diploid
15184	168	diploid
15330	79	diploid
42067	79	diploid
19967	79	diploid
11773	79	diploid
17577	79	diploid
4617	79	diploid
9457	79	diploid
13482	79	diploid
122777	79	diploid
11495	79	diploid
4711	79	diploid
13737	79	diploid
21590	162	diploid
16117	162	diploid
617142	162	diploid
7322	162	diploid
52480	162	diploid
24584	162	diploid
292310	162	diploid
107490	162	diploid
11117	162	diploid
15804	162	diploid
21096	162	diploid
2405	162	diploid
11389	162	diploid
22943	162	diploid
2765	162	diploid
16117	162	diploid
142117	162	diploid
12866	162	diploid
9607	162	diploid
21264	162	diploid
4690	162	diploid
34301	162	diploid
15786	162	diploid
14897	162	diploid
8167	162	diploid
38925	162	diploid
15889	162	diploid
1730	162	diploid
2642	162	diploid
637	162	diploid
16843	162	diploid
313606	162	diploid
11579	162	diploid
49215	162	diploid
272544	162	diploid
16286	162	diploid
4384	162	diploid
214	162	diploid
1992	162	diploid
14277	162	diploid
10823	162	diploid
485734	167	diploid
2832	167	diploid
271164	167	diploid
515	167	diploid
4174	167	diploid
92951	167	diploid
230119	167	diploid
30413	167	diploid
31849	167	diploid
3597	167	diploid
98277	167	diploid
146801	167	diploid
97594	167	diploid
23869	167	diploid
2415	167	diploid
3130	167	diploid
33043	167	diploid
4342	167	diploid
430896	167	diploid
7999	167	diploid
23786	167	diploid
2407	167	diploid
500723	167	diploid
268957	167	diploid
1679	167	diploid
9307	167	diploid
60392	167	diploid
16600	167	diploid
48095	167	diploid
7860	167	diploid
8941	167	diploid
140595	167	diploid
13296	167	diploid
19141	167	diploid
7093	167	diploid
12983	167	diploid
18079	167	diploid
6196	167	diploid
73158	167	diploid
315439	167	diploid
16586	167	diploid
3604	240	diploid
456204	240	diploid
80649	240	diploid
562	240	diploid
177775	240	diploid
126802	240	diploid
21591	240	diploid
21	240	diploid
5203	240	diploid
17954	240	diploid
495	240	diploid
69146	240	diploid
8834	240	diploid
1314	240	diploid
2301	240	diploid
229669	240	diploid
16883	240	diploid
13564	240	diploid
2022	240	diploid
9140	240	diploid
79477	240	diploid
583	240	diploid
5102	240	diploid
384763	240	diploid
4960	240	diploid
25157	240	diploid
269370	240	diploid
196813	240	diploid
254452	240	diploid
697440	240	diploid
16415	240	diploid
78434	240	diploid
269618	240	diploid
4877	240	diploid
310893	240	diploid
18351	300	diploid
83762	300	diploid
1981	300	diploid
53674	300	diploid
8283	300	diploid
3520	300	diploid
101307	300	diploid
5647	300	diploid
22177	300	diploid
18808	300	diploid
7383	300	diploid
110301	300	diploid
860	300	diploid
8909	300	diploid
67193	300	diploid
12035	300	diploid
4422	300	diploid
164407	300	diploid
166974	300	diploid
4882	300	diploid
126865	300	diploid
4828	300	diploid
304042	300	diploid
172404	300	diploid
11793	300	diploid
143247	96	diploid
31199	96	diploid
2679	96	diploid
203666	96	diploid
15420	96	diploid
4696	96	diploid
93574	96	diploid
24094	96	diploid
312932	96	diploid
282720	96	diploid
7517	96	diploid
187008	96	diploid
62827	96	diploid
755	96	diploid
39137	96	diploid
636060	96	diploid
88483	96	diploid
19531	179	diploid
105816	179	diploid
237798	179	diploid
9762	179	diploid
16521	179	diploid
335090	179	diploid
53093	179	diploid
11822	179	diploid
186122	179	diploid
555	179	diploid
116991	179	diploid
1760	179	diploid
136366	179	diploid
4036	179	diploid
13485	179	diploid
7220	179	diploid
119476	179	diploid
22923	179	diploid
1926	179	diploid
882	179	diploid
71154	179	diploid
100096	179	diploid
3806	179	diploid
1015	179	diploid
233703	179	diploid
347513	179	diploid
321493	179	diploid
24152	179	diploid
213340	179	diploid
64963	63	diploid
54471	63	diploid
895	63	diploid
571	63	diploid
12636	63	diploid
30587	63	diploid
181874	63	diploid
36533	63	diploid
39644	63	diploid
4240	63	diploid
8031	224	diploid
17976	224	diploid
8834	224	diploid
572	224	diploid
33317	224	diploid
9320	224	diploid
33305	224	diploid
2509	224	diploid
5595	224	diploid
3441	224	diploid
18194	224	diploid
14708	224	diploid
158011	224	diploid
19237	224	diploid
8745	224	diploid
5486	224	diploid
65418	224	diploid
120	224	diploid
61208	224	diploid
31850	224	diploid
7168	224	diploid
1483	224	diploid
9844	224	diploid
10063	224	diploid
26351	224	diploid
73678	224	diploid
10294	224	diploid
121162	224	diploid
16579	224	diploid
135311	224	diploid
39029	224	diploid
2768	224	diploid
26901	224	diploid
994	224	diploid
749	224	diploid
5267	224	diploid
14495	224	diploid
42917	224	diploid
16718	224	diploid
357363	224	diploid
349553	224	diploid
5617	224	diploid
473682	224	diploid
167935	224	diploid
20890	224	diploid
39815	224	diploid
7192	224	diploid
1758	224	diploid
49060	224	diploid
3555	224	diploid
3903	224	diploid
14807	224	diploid
195193	224	diploid
5587	224	diploid
173314	224	diploid
388744	224	diploid
217691	224	diploid
8829	224	diploid
61355	224	diploid
635	224	diploid
8393	224	diploid
83492	224	diploid
220703	224	diploid
8073	71	diploid
346295	71	diploid
54601	71	diploid
232319	71	diploid
259150	71	diploid
600332	71	diploid
11865	71	diploid
44201	71	diploid
90100	71	diploid
153555	71	diploid
79695	71	diploid
48435	71	diploid
27105	71	diploid
126072	71	diploid
79083	71	diploid
113552	71	diploid
38685	71	diploid
123005	71	diploid
83508	71	diploid
74824	71	diploid
27879	71	diploid
328	71	diploid
31925	71	diploid
302708	178	diploid
17114	178	diploid
21359	178	diploid
204535	178	diploid
51476	178	diploid
2874	178	diploid
42162	178	diploid
246623	178	diploid
201965	178	diploid
88222	178	diploid
302079	178	diploid
35925	178	diploid
4249	178	diploid
64974	178	diploid
262949	178	diploid
33761	178	diploid
17158	178	diploid
2795735	178	diploid
490	178	diploid
815	178	diploid
445	178	diploid
30023	178	diploid
16509	178	diploid
2856724	178	diploid
207619	178	diploid
1755	178	diploid
615	178	diploid
16974	178	diploid
15	178	diploid
297078	178	diploid
166365	178	diploid
64934	178	diploid
15613	178	diploid
50460	178	diploid
87864	178	diploid
13363	131	diploid
41889	131	diploid
