width	reads.per.mb.bpr	type
3114	268	haploid
5456	268	haploid
22237	126	haploid
8671	126	haploid
75687	126	haploid
8738	126	haploid
53981	126	haploid
12210	168	haploid
3234	168	haploid
7179	168	haploid
15499	168	haploid
14105	168	haploid
65	168	haploid
10749	124	haploid
50137	124	haploid
42462	124	haploid
9396	124	haploid
5783	124	haploid
5939	124	haploid
568	124	haploid
54878	93	haploid
11713	93	haploid
49029	93	haploid
10378	93	haploid
21482	93	haploid
16153	93	haploid
21228	93	haploid
11979	95	haploid
27222	95	haploid
10246	95	haploid
10029	95	haploid
21469	95	haploid
11651	95	haploid
27995	95	haploid
22069	95	haploid
89837	95	haploid
7645	202	haploid
10104	202	haploid
48123	202	haploid
1507	197	haploid
1985	197	haploid
5929	197	haploid
1655	197	haploid
4042	197	haploid
15354	181	haploid
3570	181	haploid
588	181	haploid
54146	181	haploid
18737	87	haploid
10863	87	haploid
68593	87	haploid
18899	87	haploid
6136	184	haploid
7351	184	haploid
11347	184	haploid
13043	184	haploid
5951	184	haploid
7877	184	haploid
41009	184	haploid
55273	73	haploid
24669	73	haploid
12440	73	haploid
27712	73	haploid
20168	73	haploid
66505	73	haploid
12396	73	haploid
22501	109	haploid
1553	109	haploid
10195	109	haploid
11191	109	haploid
2542	109	haploid
70013	109	haploid
34250	109	haploid
39799	109	haploid
9219	215	haploid
31135	215	haploid
12910	215	haploid
11011	215	haploid
7983	215	haploid
34281	215	haploid
11593	215	haploid
2903	215	haploid
4252	215	haploid
8780	215	haploid
562	215	haploid
31832	64	haploid
75513	64	haploid
14475	64	haploid
42220	64	haploid
27238	55	haploid
40886	55	haploid
57531	55	haploid
20977	55	haploid
24256	55	haploid
12703	55	haploid
7428	55	haploid
7664	55	haploid
4407	55	haploid
75075	60	haploid
21008	60	haploid
22299	60	haploid
69997	60	haploid
123021	60	haploid
15487	60	haploid
74821	60	haploid
144939	39	haploid
70136	39	haploid
18046	39	haploid
34290	39	haploid
44632	82	haploid
27316	82	haploid
25860	82	haploid
38090	82	haploid
19562	82	haploid
39552	82	haploid
38516	82	haploid
52095	47	haploid
76969	47	haploid
18058	66	haploid
7376	66	haploid
104818	66	haploid
22993	66	haploid
21900	66	haploid
133572	66	haploid
115838	66	haploid
51363	66	haploid
13061	66	haploid
42349	66	haploid
17701	66	haploid
56424	35	haploid
63182	35	haploid
4747	35	haploid
22043	35	haploid
21011	35	haploid
53768	34	haploid
14718	34	haploid
26312	34	haploid
2003590	34	haploid
28650	34	haploid
49162	34	haploid
31278	76	haploid
33146	76	haploid
37778	76	haploid
59018	76	haploid
26646	76	haploid
17040	76	haploid
19661	76	haploid
30949	76	haploid
44301	76	haploid
12680	76	haploid
56038	76	haploid
2809	34	haploid
34654	34	haploid
18257	34	haploid
67421	34	haploid
6436	34	haploid
8418	34	haploid
14332	34	haploid
121468	34	haploid
19908	82	haploid
13313	82	haploid
214697	82	haploid
25536	82	haploid
68581	50	haploid
16420	50	haploid
166964	50	haploid
20668	50	haploid
53011	50	haploid
18341	50	haploid
257864	50	haploid
20764	50	haploid
1460724	50	haploid
143405	41	haploid
21887	41	haploid
38473	41	haploid
16748	41	haploid
108060	39	haploid
103947	39	haploid
24134	39	haploid
51132	39	haploid
154	39	haploid
23700	39	haploid
53367	39	haploid
16760	39	haploid
252179	39	haploid
34784	39	haploid
30252	39	haploid
129602	35	haploid
16647	35	haploid
15124	35	haploid
65159	35	haploid
72389	35	haploid
29109	35	haploid
42461	35	haploid
22082	43	haploid
31437	43	haploid
26519	47	haploid
23000	47	haploid
40799	47	haploid
38578	47	haploid
138443	47	haploid
27822	47	haploid
84443	45	haploid
23089	43	haploid
27548	43	haploid
76613	43	haploid
16722	47	haploid
70169	47	haploid
56621	47	haploid
1748	47	haploid
34789	47	haploid
20918	47	haploid
28873	47	haploid
21041	47	haploid
12318	47	haploid
39752	47	haploid
16617	84	haploid
15135	84	haploid
17934	84	haploid
16115	62	haploid
25085	62	haploid
5682	62	haploid
37241	62	haploid
14000	62	haploid
38260	62	haploid
17001	62	haploid
16754	62	haploid
10509	62	haploid
10884	62	haploid
44451	44	haploid
18222	44	haploid
16578	44	haploid
130	44	haploid
15688	44	haploid
12916	44	haploid
22700	44	haploid
45116	44	haploid
101074	44	haploid
53657	44	haploid
61986	44	haploid
53599	51	haploid
95427	51	haploid
6045	51	haploid
161178	51	haploid
85798	31	haploid
86874	31	haploid
52026	31	haploid
12381	31	haploid
701086	31	haploid
27087	31	haploid
46668	31	haploid
15468	128	haploid
8589	128	haploid
34920	40	haploid
55650	40	haploid
56514	40	haploid
31300	40	haploid
64989	37	haploid
50577	37	haploid
34507	37	haploid
244372	37	haploid
22549	37	haploid
169957	37	haploid
28887	37	haploid
37283	47	haploid
31083	47	haploid
76827	47	haploid
11499	47	haploid
48552	47	haploid
100324	47	haploid
30635	47	haploid
445712	47	haploid
66030	32	haploid
103780	32	haploid
26811	32	haploid
68175	32	haploid
16238	32	haploid
11420	32	haploid
19259	45	haploid
1508494	45	haploid
29822	45	haploid
61433	45	haploid
54686	45	haploid
75715	45	haploid
21193	64	haploid
23952	64	haploid
4387	64	haploid
21696	64	haploid
85825	64	haploid
48803	64	haploid
26789	64	haploid
26601	64	haploid
55413	64	haploid
65330	64	haploid
87199	64	haploid
22925	57	haploid
18819	57	haploid
12318	57	haploid
4062	57	haploid
27747	57	haploid
20915	57	haploid
66242	57	haploid
13302	57	haploid
51951	33	haploid
39624	33	haploid
6943	33	haploid
49822	33	haploid
95281	33	haploid
65123	33	haploid
375748	33	haploid
29222	33	haploid
39028	33	haploid
101275	41	haploid
33543	41	haploid
5944	41	haploid
20849	41	haploid
495721	41	haploid
9782	248	haploid
5548	212	haploid
6228	212	haploid
4344	212	haploid
8011	212	haploid
4671	212	haploid
14785	212	haploid
13680	212	haploid
228803	154	haploid
9524	154	haploid
12600	154	haploid
17631	154	haploid
49812	154	haploid
11927	154	haploid
43960	154	haploid
22115	154	haploid
16230	154	haploid
20036	154	haploid
14172	154	haploid
182930	105	haploid
108514	105	haploid
85728	43	haploid
51266	43	haploid
32880	43	haploid
25662	43	haploid
29157	43	haploid
30265	33	haploid
462142	33	haploid
235510	44	haploid
27262	44	haploid
17222	44	haploid
37587	44	haploid
10241	44	haploid
64756	35	haploid
1552231	35	haploid
88299	35	haploid
49513	35	haploid
456	56	haploid
87812	56	haploid
14791	151	haploid
2603	151	haploid
12322	151	haploid
17390	91	haploid
169526	91	haploid
15698	91	haploid
