library	background	readsPerMb	cov.bpr
blm-4-100uv-f03-r5-c1_S127_.processed.bam	0.0672268907563025	6	0.05
blm-4-100uv-f03-r5-c2_S128_.processed.bam	0.014230330672748	166	1.17
blm-4-100uv-f03-r5-c3_S129_.processed.bam	0.0948743718592965	11	0.1
blm-4-100uv-f03-r5-c4_S130_.processed.bam	0.0237075547411558	190	1.33
blm-4-100uv-f03-r5-c5_S131_.processed.bam	0.0429293399063653	176	1.25
blm-4-100uv-f03-r5-c6_S132_.processed.bam	0.0421159029649596	7	0.06
blm-4-100uv-f03-r6-c1_S134_.processed.bam	0.0180642153720646	188	1.33
blm-4-100uv-f03-r6-c2_S135_.processed.bam	0.0148926100834751	135	0.95
blm-4-100uv-f03-r6-c3_S136_.processed.bam	0.0206757081642177	82	0.57
blm-4-100uv-f03-r6-c4_S137_.processed.bam	0.0741722429825324	92	0.61
blm-4-100uv-f03-r6-c5_S138_.processed.bam	0.0213966209863529	132	0.93
blm-4-200uv-f04-r1-c2_S149_.processed.bam	0.0239563073699017	187	1.29
blm-4-200uv-f04-r1-c3_S150_.processed.bam	0.0260759605998758	218	1.54
blm-4-200uv-f04-r1-c4_S151_.processed.bam	0.0911854103343465	5	0.05
blm-4-200uv-f04-r1-c5_S152_.processed.bam	0.0996137399182116	213	1.56
blm-4-200uv-f04-r1-c6_S153_.processed.bam	0.0379832291074474	213	1.51
blm-4-200uv-f04-r2-c1_S155_.processed.bam	0.0321556720949489	25	0.24
blm-4-200uv-f04-r2-c2_S156_.processed.bam	0.0538218266401532	140	1.01
blm-4-200uv-f04-r2-c3_S157_.processed.bam	0.0189156985403634	226	1.57
blm-4-200uv-f04-r2-c4_S158_.processed.bam	0.0244113294357261	124	0.86
blm-4-200uv-f04-r2-c5_S159_.processed.bam	0.0231688330830669	215	1.6
blm-4-200uv-f04-r2-c6_S160_.processed.bam	0.0347061971171533	256	1.77
blm-4-200uv-f04-r3-c1_S162_.processed.bam	0.0214857018632415	226	1.47
blm-4-200uv-f04-r3-c2_S163_.processed.bam	0.0415873541339071	40	0.33
blm-4-200uv-f04-r3-c3_S164_.processed.bam	0.0386597042920492	156	1.07
blm-4-200uv-f04-r3-c4_S165_.processed.bam	0.0343514396726964	169	1.21
blm-4-200uv-f04-r3-c5_S166_.processed.bam	0.0248662193153827	207	1.44
blm-4-200uv-f04-r3-c6_S167_.processed.bam	0.0584415584415584	4	0.04
blm-4-200uv-f04-r4-c1_S169_.processed.bam	0.0281771555891874	235	1.69
blm-4-200uv-f04-r4-c2_S170_.processed.bam	0.150774063271259	18	0.16
blm-4-200uv-f04-r4-c3_S171_.processed.bam	0.212138084632517	3	0.03
blm-4-200uv-f04-r4-c4_S172_.processed.bam	0.0320735090152566	220	1.43
blm-4-200uv-f04-r4-c5_S173_.processed.bam	0.0694029638478824	224	1.6
blm-4-200uv-f04-r4-c6_S174_.processed.bam	0.289772727272727	21	0.28
blm-4-200uv-f04-r5-c1_S176_.processed.bam	0.046521677956222	221	1.57
blm-4-200uv-f04-r5-c2_S177_.processed.bam	0.0759333716255026	12	0.1
blm-4-200uv-f04-r5-c3_S178_.processed.bam	0.0402386506369998	207	1.36
blm-4-200uv-f04-r5-c4_S179_.processed.bam	0.0555929919137466	9	0.08
blm-4-200uv-f04-r5-c5_S180_.processed.bam	0.0340354840853213	189	1.23
blm-4-200uv-f04-r5-c6_S181_.processed.bam	0.0606492478226445	12	0.1
blm-4-200uv-f04-r6-c1_S183_.processed.bam	0.0274252558166124	117	0.85
blm-4-200uv-f04-r6-c2_S184_.processed.bam	0.0210134151253214	209	1.45
blm-4-200uv-f04-r6-c3_S185_.processed.bam	0.0301617695609112	143	0.96
blm-4-200uv-f04-r6-c4_S186_.processed.bam	0.0400540003793415	135	0.94
blm-4-200uv-f04-r6-c5_S187_.processed.bam	0.0675583610249851	147	0.94
recql1-1-100uv-f05-r1-c1_S197_.processed.bam	0.0313681924281952	52	0.33
recql1-1-100uv-f05-r1-c2_S198_.processed.bam	0.0287685082095187	74	0.55
recql1-1-100uv-f05-r1-c3_S199_.processed.bam	0.0388815690574513	74	0.52
recql1-1-100uv-f05-r1-c4_S200_.processed.bam	0.106342803192859	82	0.59
recql1-1-100uv-f05-r1-c5_S201_.processed.bam	0.0319362137700679	46	0.33
recql1-1-100uv-f05-r1-c6_S202_.processed.bam	0.0317072196252347	84	0.59
recql1-1-100uv-f05-r2-c1_S204_.processed.bam	0.0258348828256186	64	0.46
recql1-1-100uv-f05-r2-c3_S206_.processed.bam	0.0292861143855601	80	0.55
recql1-1-100uv-f05-r2-c4_S207_.processed.bam	0.0496833061582842	41	0.29
