file	quality_manual	coverage	spikiness	evenness.mean	evenness.med	end	background	reads.per.mb.bpr	coverage.bpr	gene
recql5-wrn-1-200uv-f08-r3-c5_S362_.processed.bam	G	0.021926139	0.111909924	0.210139368	0.200073315	se	0.019660428	282	1.91	WRN/RECQL5
recql5-wrn-1-200uv-f08-r3-c6_S363_.processed.bam	G	0.026958699	0.102983894	0.194115197	0.186459746	se	0.022234107	339	2.33	WRN/RECQL5
recql5-wrn-1-200uv-f08-r4-c1_S365_.processed.bam	G	0.021802407	0.112090273	0.170448818	0.17002362	se	0.02218245	265	1.9	WRN/RECQL5
recql5-wrn-1-200uv-f08-r4-c3_S367_.processed.bam	G	0.023584998	0.106774859	0.190381137	0.185159596	se	0.040778141	289	2.01	WRN/RECQL5
recql5-wrn-1-200uv-f08-r4-c4_S368_.processed.bam	G	0.022663507	0.106356804	0.193385103	0.188479849	se	0.01798088	285	1.98	WRN/RECQL5
recql5-wrn-1-200uv-f08-r4-c5_S369_.processed.bam	G	0.021038429	0.111338743	0.195112908	0.188941575	se	0.026893406	262	1.81	WRN/RECQL5
recql5-wrn-1-200uv-f08-r4-c6_S370_.processed.bam	P	0.027445193	0.128096498	0.198462088	0.195540117	se	0.046289981	337	2.35	WRN/RECQL5
recql5-wrn-1-200uv-f08-r5-c1_S372_.processed.bam	G	0.022306173	0.109937977	0.196491894	0.190216241	se	0.029386006	281	1.93	WRN/RECQL5
recql5-wrn-1-200uv-f08-r5-c2_S373_.processed.bam	G	0.020574789	0.113033082	0.197578709	0.191638624	se	0.021260353	257	1.78	WRN/RECQL5
recql5-wrn-1-200uv-f08-r5-c3_S374_.processed.bam	P	0.029351896	0.176274249	0.217605137	0.216631881	se	0.064359305	343	2.53	WRN/RECQL5
recql5-wrn-1-200uv-f08-r5-c4_S375_.processed.bam	G	0.029896761	0.115103017	0.197797655	0.193075332	se	0.029630201	369	2.56	WRN/RECQL5
recql5-wrn-1-200uv-f08-r5-c6_S377_.processed.bam	P	0.02397372	0.188503235	0.225663456	0.22421167	se	0.113377393	271	2.04	WRN/RECQL5
recql5-wrn-1-200uv-f08-r6-c1_S379_.processed.bam	G	0.022736347	0.11094231	0.206354784	0.202393605	se	0.02822663	286	1.98	WRN/RECQL5
recql5-wrn-1-200uv-f08-r6-c2_S380_.processed.bam	P	0.023306184	0.174043117	0.21590651	0.215251036	se	0.101308569	291	2.11	WRN/RECQL5
recql5-wrn-1-200uv-f08-r6-c3_S381_.processed.bam	G	0.014905251	0.156179845	0.207313932	0.206632267	se	0.101058538	202	1.39	WRN/RECQL5
recql5-wrn-1-200uv-f08-r6-c4_S382_.processed.bam	G	0.015158432	0.11776218	0.202596216	0.197128456	se	0.033548889	208	1.4	WRN/RECQL5
recql5-wrn-1-200uv-f08-r6-c5_S383_.processed.bam	G	0.019386847	0.1114528	0.199292007	0.189507365	se	0.029165178	266	1.78	WRN/RECQL5
recql5-wrn-6-100uv-f09-r1-c1_S393_.processed.bam	G	0.024750491	0.107128878	0.224803209	0.205753904	se	0.027569178	324	2.14	WRN/RECQL5
recql5-wrn-6-100uv-f09-r1-c2_S394_.processed.bam	P	0.017979748	0.216306881	0.250962072	0.25068491	se	0.227272727	211	1.56	WRN/RECQL5
recql5-wrn-6-100uv-f09-r1-c3_S395_.processed.bam	G	0.024376292	0.104704412	0.222055672	0.205832738	se	0.024714501	316	2.1	WRN/RECQL5
recql5-wrn-6-100uv-f09-r1-c4_S396_.processed.bam	P	0.027334921	0.154017973	0.219015997	0.215029135	se	0.059498735	337	2.35	WRN/RECQL5
recql5-wrn-6-100uv-f09-r1-c6_S398_.processed.bam	G	0.022237174	0.125707662	0.224074863	0.209775188	se	0.030871881	283	1.91	WRN/RECQL5
recql5-wrn-6-100uv-f09-r2-c1_S400_.processed.bam	P	0.026540877	0.149608537	0.220611044	0.215987321	se	0.067163295	329	2.28	WRN/RECQL5
recql5-wrn-6-100uv-f09-r2-c2_S401_.processed.bam	P	0.017872972	0.189687218	0.224466205	0.224065611	se	0.114750944	210	1.53	WRN/RECQL5
recql5-wrn-6-100uv-f09-r2-c3_S402_.processed.bam	P	0.028159177	0.17714587	0.225029602	0.223932823	se	0.095020938	339	2.4	WRN/RECQL5
recql5-wrn-6-100uv-f09-r2-c4_S403_.processed.bam	G	0.013538633	0.120596142	0.224009814	0.20785134	se	0.028522967	193	1.26	WRN/RECQL5
recql5-wrn-6-100uv-f09-r2-c5_S404_.processed.bam	P	0.020163519	0.171214285	0.224361353	0.223123096	se	0.104428191	246	1.75	WRN/RECQL5
recql5-wrn-6-100uv-f09-r2-c6_S405_.processed.bam	P	0.03678919	0.205486364	0.240450453	0.237871496	se	0.142755308	409	3.11	WRN/RECQL5
recql5-wrn-6-100uv-f09-r3-c1_S407_.processed.bam	G	0.026186381	0.1083936	0.222026661	0.211895978	se	0.028489266	334	2.26	WRN/RECQL5
recql5-wrn-6-100uv-f09-r3-c2_S408_.processed.bam	P	0.029590035	0.164381024	0.237918438	0.235129713	se	0.090398475	368	2.56	WRN/RECQL5
recql5-wrn-6-100uv-f09-r3-c3_S409_.processed.bam	G	0.018508843	0.115827293	0.224527785	0.207195894	se	0.029004579	236	1.58	WRN/RECQL5
recql5-wrn-6-100uv-f09-r3-c5_S411_.processed.bam	G	0.004302109	0.409205424	0.238005043	0.230549515	se	0.144517787	41	0.37	WRN/RECQL5
recql5-wrn-6-100uv-f09-r3-c6_S412_.processed.bam	G	0.02593411	0.113053343	0.20262091	0.196604878	se	0.035668607	323	2.21	WRN/RECQL5
recql5-wrn-6-100uv-f09-r4-c1_S414_.processed.bam	G	0.01644565	0.155457211	0.243966134	0.243711528	se	0.065201718	189	1.41	WRN/RECQL5
recql5-wrn-6-100uv-f09-r4-c2_S415_.processed.bam	G	0.024279564	0.10678497	0.223613632	0.204537832	se	0.02985512	314	2.09	WRN/RECQL5
recql5-wrn-6-100uv-f09-r4-c3_S416_.processed.bam	G	0.028032966	0.101893203	0.225545446	0.202964517	se	0.046174165	355	2.35	WRN/RECQL5
recql5-wrn-6-100uv-f09-r4-c4_S417_.processed.bam	G	0.021053923	0.112102029	0.228455217	0.208529691	se	0.035597596	269	1.78	WRN/RECQL5
recql5-wrn-6-100uv-f09-r4-c5_S418_.processed.bam	G	0.018522405	0.117806267	0.228611646	0.212678498	se	0.039657429	238	1.58	WRN/RECQL5
recql5-wrn-6-100uv-f09-r4-c6_S419_.processed.bam	P	0.030686508	0.193376443	0.235459465	0.235329685	se	0.076953817	357	2.62	WRN/RECQL5
recql5-wrn-6-100uv-f09-r5-c1_S421_.processed.bam	G	0.007341466	0.38973446	0.237651925	0.230791127	se	0.122190592	71	0.62	WRN/RECQL5
recql5-wrn-6-100uv-f09-r5-c2_S422_.processed.bam	P	0.026587731	0.206742174	0.238035298	0.236096616	se	0.187641981	299	2.28	WRN/RECQL5
recql5-wrn-6-100uv-f09-r5-c3_S423_.processed.bam	P	0.030418303	0.170862346	0.220130014	0.219074777	se	0.096900981	363	2.57	WRN/RECQL5
recql5-wrn-6-100uv-f09-r5-c4_S424_.processed.bam	G	0.023128381	0.105950625	0.222986311	0.20786304	se	0.02358745	292	1.96	WRN/RECQL5
recql5-wrn-6-100uv-f09-r5-c5_S425_.processed.bam	P	0.027051343	0.158896493	0.22260005	0.219750148	se	0.095413042	329	2.3	WRN/RECQL5
recql5-wrn-6-100uv-f09-r5-c6_S426_.processed.bam	P	0.023933908	0.169138051	0.229101912	0.228563478	se	0.133903648	285	2.04	WRN/RECQL5
recql5-wrn-6-100uv-f09-r6-c1_S428_.processed.bam	P	0.030838671	0.21111068	0.240384159	0.238724443	se	0.121928184	354	2.66	WRN/RECQL5
recql5-wrn-6-100uv-f09-r6-c2_S429_.processed.bam	P	0.009303559	0.195714742	0.232478598	0.232153805	se	0.149060018	129	0.88	WRN/RECQL5
recql5-wrn-6-200uv-f10-r1-c1_S442_.processed.bam	P	0.018447638	0.174298359	0.222922743	0.220595984	se	0.115514929	238	1.64	WRN/RECQL5
recql5-wrn-6-200uv-f10-r1-c2_S443_.processed.bam	P	0.026282052	0.138810907	0.22094026	0.212692603	se	0.051642313	331	2.25	WRN/RECQL5
recql5-wrn-6-200uv-f10-r1-c3_S444_.processed.bam	G	0.01954239	0.114299425	0.229061601	0.210944163	se	0.013533433	253	1.67	WRN/RECQL5
recql5-wrn-6-200uv-f10-r1-c4_S445_.processed.bam	G	0.027516783	0.105748124	0.225833915	0.204960224	se	0.02520829	357	2.34	WRN/RECQL5
recql5-wrn-6-200uv-f10-r1-c5_S446_.processed.bam	P	0.025368964	0.156358507	0.220743246	0.216639458	se	0.078422377	315	2.19	WRN/RECQL5
recql5-wrn-6-200uv-f10-r1-c6_S447_.processed.bam	G	0.029929683	0.129301905	0.220794794	0.20735751	se	0.060946696	379	2.55	WRN/RECQL5
recql5-wrn-6-200uv-f10-r2-c1_S449_.processed.bam	P	0.035960654	0.147199292	0.220574721	0.215492062	se	0.050602135	427	2.97	WRN/RECQL5
recql5-wrn-6-200uv-f10-r2-c2_S450_.processed.bam	G	0.014513126	0.129419984	0.226231964	0.214282548	se	0.010949344	182	1.24	WRN/RECQL5
recql5-wrn-6-200uv-f10-r2-c3_S451_.processed.bam	P	0.026343617	0.137944267	0.226691648	0.216212473	se	0.048667264	330	2.24	WRN/RECQL5
recql5-wrn-6-200uv-f10-r2-c4_S452_.processed.bam	G	0.013201121	0.120332363	0.225359272	0.20916369	se	0.02847	187	1.22	WRN/RECQL5
recql5-wrn-6-200uv-f10-r2-c5_S453_.processed.bam	G	0.024416165	0.106914518	0.233872389	0.213342557	se	0.014628209	315	2.08	WRN/RECQL5
recql5-wrn-6-200uv-f10-r2-c6_S454_.processed.bam	P	0.034853126	0.168782964	0.222709488	0.222117727	se	0.110106656	413	2.92	WRN/RECQL5
recql5-wrn-6-200uv-f10-r3-c1_S456_.processed.bam	G	0.026506819	0.106506505	0.224301923	0.204355127	se	0.016698313	341	2.24	WRN/RECQL5
recql5-wrn-6-200uv-f10-r3-c2_S457_.processed.bam	P	0.028586836	0.163925902	0.231910176	0.22616616	se	0.09545522	357	2.44	WRN/RECQL5
recql5-wrn-6-200uv-f10-r3-c3_S458_.processed.bam	P	0.020333599	0.15814506	0.223583218	0.218244282	se	0.07533043	247	1.71	WRN/RECQL5
recql5-wrn-6-200uv-f10-r3-c4_S459_.processed.bam	P	0.018514829	0.173473725	0.222664716	0.220766439	se	0.084850863	224	1.58	WRN/RECQL5
recql5-wrn-6-200uv-f10-r3-c5_S460_.processed.bam	G	0.025576481	0.119509734	0.233821355	0.214851648	se	0.031389738	325	2.15	WRN/RECQL5
recql5-wrn-6-200uv-f10-r3-c6_S461_.processed.bam	P	0.027172631	0.149270683	0.220929609	0.21371479	se	0.095410804	336	2.29	WRN/RECQL5
recql5-wrn-6-200uv-f10-r4-c1_S463_.processed.bam	G	0.025721284	0.141130001	0.220043529	0.214194342	se	0.060893493	316	2.17	WRN/RECQL5
recql5-wrn-6-200uv-f10-r4-c2_S464_.processed.bam	P	0.029799542	0.173051373	0.223800631	0.221843237	se	0.084981875	359	2.52	WRN/RECQL5
recql5-wrn-6-200uv-f10-r4-c3_S465_.processed.bam	P	0.027684515	0.175194619	0.222709623	0.221957416	se	0.112405643	328	2.34	WRN/RECQL5
recql5-wrn-6-200uv-f10-r4-c4_S466_.processed.bam	G	0.021947508	0.112119169	0.237785663	0.221656402	se	0.012339562	286	1.88	WRN/RECQL5
recql5-wrn-6-200uv-f10-r4-c5_S467_.processed.bam	G	0.019696878	0.122683759	0.231967961	0.207310265	se	0.033201266	253	1.65	WRN/RECQL5
recql5-wrn-6-200uv-f10-r4-c6_S468_.processed.bam	P	0.034263528	0.188937984	0.229514174	0.229393791	se	0.14131588	393	2.86	WRN/RECQL5
recql5-wrn-6-200uv-f10-r5-c2_S471_.processed.bam	G	0.022402718	0.108827256	0.224342583	0.206123689	se	0.017293346	284	1.9	WRN/RECQL5
recql5-wrn-6-200uv-f10-r5-c3_S472_.processed.bam	G	0.027152648	0.127376007	0.220249794	0.206834762	se	0.03798339	343	2.31	WRN/RECQL5
recql5-wrn-6-200uv-f10-r5-c4_S473_.processed.bam	P	0.027916676	0.162526575	0.22589145	0.22090381	se	0.079802968	342	2.36	WRN/RECQL5
recql5-wrn-6-200uv-f10-r5-c5_S474_.processed.bam	G	0.025221704	0.106301264	0.226070682	0.206778106	se	0.01047474	323	2.13	WRN/RECQL5
recql5-wrn-6-200uv-f10-r5-c6_S475_.processed.bam	P	0.024769099	0.271091262	0.272788145	0.269657398	se	0.376811594	243	2.05	WRN/RECQL5
recql5-wrn-6-200uv-f10-r6-c1_S477_.processed.bam	G	0.011035896	0.137238479	0.217102434	0.210635586	se	0.016559272	137	0.94	WRN/RECQL5
recql5-wrn-6-200uv-f10-r6-c2_S478_.processed.bam	P	0.021386674	0.166808923	0.221470279	0.219104271	se	0.079577587	270	1.87	WRN/RECQL5
recql5-wrn-6-200uv-f10-r6-c4_S480_.processed.bam	G	0.015125641	0.119344168	0.243243702	0.214746861	se	0.015559944	218	1.37	WRN/RECQL5
recql5-wrn-6-200uv-f10-r6-c5_S481_.processed.bam	G	0.016984793	0.11788518	0.2394117	0.210383155	se	0.020122918	247	1.55	WRN/RECQL5
wrn-1-100uv-f11-r1-c2_S492_.processed.bam	G	0.031111286	0.106159288	0.188035433	0.187314483	se	0.024257378	371	2.65	WRN
wrn-1-100uv-f11-r1-c3_S493_.processed.bam	G	0.023259776	0.115503344	0.225599174	0.209393218	se	0.025934728	301	1.99	WRN
wrn-1-100uv-f11-r1-c4_S494_.processed.bam	G	0.024793771	0.106379702	0.18279564	0.177421846	se	0.02404539	311	2.15	WRN
wrn-1-100uv-f11-r1-c5_S495_.processed.bam	G	0.02386509	0.115376627	0.186065352	0.183811374	se	0.019683296	287	2.03	WRN
wrn-1-100uv-f11-r1-c6_S496_.processed.bam	G	0.028972993	0.105053375	0.173143457	0.172271422	se	0.027271055	352	2.49	WRN
wrn-1-100uv-f11-r2-c2_S499_.processed.bam	G	0.015529106	0.136970912	0.196930365	0.192119624	se	0.058079594	187	1.32	WRN
wrn-1-100uv-f11-r2-c3_S500_.processed.bam	P	0.026790642	0.136663418	0.195358442	0.19472569	se	0.070326898	322	2.3	WRN
wrn-1-100uv-f11-r2-c4_S501_.processed.bam	G	0.012496856	0.124599327	0.19710068	0.191762811	se	0.028187197	173	1.17	WRN
wrn-1-100uv-f11-r2-c5_S502_.processed.bam	G	0.023412034	0.114589347	0.197707852	0.190776788	se	0.023520929	294	2.02	WRN
wrn-1-100uv-f11-r2-c6_S503_.processed.bam	G	0.026298089	0.108972594	0.196060423	0.186691818	se	0.029384625	330	2.26	WRN
wrn-1-100uv-f11-r3-c1_S505_.processed.bam	P	0.029831721	0.154515395	0.20020102	0.199447877	se	0.059073454	346	2.56	WRN
wrn-1-100uv-f11-r3-c2_S506_.processed.bam	G	0.023102694	0.109234534	0.198172284	0.190479124	se	0.030718444	289	1.99	WRN
wrn-1-100uv-f11-r3-c3_S507_.processed.bam	G	0.018814498	0.116802367	0.186756922	0.18628882	se	0.020645918	224	1.61	WRN
wrn-1-100uv-f11-r3-c4_S508_.processed.bam	P	0.011266971	0.228249603	0.248519596	0.237830851	se	0.031591804	153	0.99	WRN
wrn-1-100uv-f11-r3-c5_S509_.processed.bam	G	0.021777339	0.109253786	0.187494311	0.183424484	se	0.023480089	263	1.84	WRN
wrn-1-100uv-f11-r3-c6_S510_.processed.bam	G	0.025423489	0.114935119	0.180062641	0.178917716	se	0.034067411	304	2.16	WRN
wrn-1-100uv-f11-r4-c1_S512_.processed.bam	G	0.018064193	0.15215493	0.205010476	0.200028217	se	0.020951724	222	1.53	WRN
wrn-1-100uv-f11-r4-c2_S513_.processed.bam	G	0.003559213	0.409773018	0.250223556	0.243208333	se	0.090532757	34	0.29	WRN
wrn-1-100uv-f11-r4-c3_S514_.processed.bam	G	0.022805396	0.107205494	0.184746083	0.180012269	se	0.038162697	283	1.97	WRN
wrn-1-100uv-f11-r4-c4_S515_.processed.bam	P	0.004735719	0.558581328	0.239386058	0.218677782	se	0.305613851	37	0.4	WRN
wrn-1-100uv-f11-r4-c5_S516_.processed.bam	G	0.015349147	0.127296055	0.176452499	0.174898946	se	0.019249622	182	1.29	WRN
wrn-1-100uv-f11-r4-c6_S517_.processed.bam	G	0.020055968	0.112483087	0.196244255	0.190220107	se	0.023499406	247	1.71	WRN
wrn-1-100uv-f11-r5-c1_S519_.processed.bam	G	0.023711652	0.107913695	0.189122383	0.186874239	se	0.022520799	282	2.01	WRN
wrn-1-100uv-f11-r5-c2_S520_.processed.bam	G	0.024094843	0.125070483	0.210046609	0.2029485	se	0.048551509	297	2.06	WRN
wrn-1-100uv-f11-r5-c3_S521_.processed.bam	G	0.02569588	0.107462185	0.219468145	0.205686373	se	0.025207099	322	2.17	WRN
wrn-1-100uv-f11-r5-c4_S522_.processed.bam	G	0.017067799	0.119057466	0.182837247	0.179930962	se	0.024021318	212	1.49	WRN
wrn-1-100uv-f11-r5-c5_S523_.processed.bam	G	0.017807468	0.123864177	0.191812222	0.189185827	se	0.046950081	212	1.5	WRN
wrn-1-100uv-f11-r5-c6_S524_.processed.bam	G	0.0199261	0.111475973	0.18421952	0.180648758	se	0.048093719	244	1.71	WRN
wrn-1-100uv-f11-r6-c1_S526_.processed.bam	G	0.011138441	0.135853083	0.20107774	0.19725564	se	0.02203348	135	0.95	WRN
wrn-1-100uv-f11-r6-c2_S527_.processed.bam	G	0.021213688	0.121275557	0.194814192	0.19080649	se	0.022301327	275	1.89	WRN
wrn-1-100uv-f11-r6-c4_S529_.processed.bam	G	0.015229884	0.156934313	0.214601373	0.211992648	se	0.094446983	206	1.41	WRN
wrn-1-100uv-f11-r6-c5_S530_.processed.bam	P	0.015211918	0.2134209	0.259167744	0.243349773	se	0.033971442	227	1.39	WRN
wrn-1-200uv-f12-r1-c2_S541_.processed.bam	G	0.027150541	0.10354666	0.183976422	0.179946815	se	0.022817087	337	2.33	WRN
wrn-1-200uv-f12-r1-c3_S542_.processed.bam	G	0.026921973	0.12129011	0.212555068	0.206735407	se	0.022477585	332	2.28	WRN
wrn-1-200uv-f12-r1-c4_S543_.processed.bam	G	0.03826328	0.096489289	0.21715609	0.195906524	se	0.017085371	486	3.23	WRN
wrn-1-200uv-f12-r1-c5_S544_.processed.bam	G	0.030735029	0.117311348	0.203419171	0.19887914	se	0.056268085	371	2.59	WRN
wrn-1-200uv-f12-r1-c6_S545_.processed.bam	G	0.029667563	0.103729115	0.190008182	0.182419075	se	0.022724518	369	2.52	WRN
wrn-1-200uv-f12-r2-c1_S547_.processed.bam	P	0.03242749	0.16611794	0.20529152	0.204794007	se	0.099651372	377	2.77	WRN
wrn-1-200uv-f12-r2-c2_S548_.processed.bam	G	0.015531019	0.123740783	0.204358197	0.19772002	se	0.020669512	185	1.3	WRN
wrn-1-200uv-f12-r2-c3_S549_.processed.bam	P	0.024389882	0.165502916	0.241306266	0.228669264	se	0.025364785	319	2.07	WRN
wrn-1-200uv-f12-r2-c4_S550_.processed.bam	G	0.013448238	0.118405112	0.209980665	0.199819029	se	0.026655862	191	1.26	WRN
wrn-1-200uv-f12-r2-c5_S551_.processed.bam	G	0.0029819	0.390365603	0.243885668	0.240937614	se	0.08950555	32	0.26	WRN
wrn-1-200uv-f12-r2-c6_S552_.processed.bam	G	0.031188994	0.127223974	0.189896461	0.188758292	se	0.037271258	380	2.68	WRN
wrn-1-200uv-f12-r3-c1_S554_.processed.bam	P	0.03715216	0.129269211	0.229364501	0.223147837	se	0.046945052	452	3.11	WRN
wrn-1-200uv-f12-r3-c2_S555_.processed.bam	G	0.024924428	0.10663274	0.214050163	0.195713877	se	0.028836319	327	2.16	WRN
wrn-1-200uv-f12-r3-c3_S556_.processed.bam	P	0.022287407	0.148271239	0.203993339	0.202673471	se	0.08180813	267	1.89	WRN
wrn-1-200uv-f12-r3-c4_S557_.processed.bam	G	0.016533118	0.120093038	0.209117409	0.200176056	se	0.017670795	209	1.43	WRN
wrn-1-200uv-f12-r3-c5_S558_.processed.bam	G	0.02568482	0.105369182	0.203166353	0.194811051	se	0.021408971	320	2.19	WRN
wrn-1-200uv-f12-r3-c6_S559_.processed.bam	G	0.028080045	0.106923643	0.175590646	0.173509272	se	0.019171818	345	2.4	WRN
wrn-1-200uv-f12-r4-c1_S561_.processed.bam	G	0.027836726	0.103443425	0.172576133	0.171272121	se	0.025644426	334	2.36	WRN
wrn-1-200uv-f12-r4-c2_S562_.processed.bam	G	0.032500124	0.10304486	0.181959417	0.181428286	se	0.025377442	389	2.75	WRN
wrn-1-200uv-f12-r4-c3_S563_.processed.bam	G	0.034465145	0.108682297	0.190346209	0.18587249	se	0.023703808	417	2.89	WRN
wrn-1-200uv-f12-r4-c4_S564_.processed.bam	G	0.026882035	0.112576188	0.198088743	0.19619554	se	0.023234433	328	2.3	WRN
wrn-1-200uv-f12-r4-c6_S566_.processed.bam	G	0.030938264	0.132368786	0.189939305	0.188651463	se	0.106084959	375	2.63	WRN
wrn-1-200uv-f12-r5-c1_S568_.processed.bam	G	0.023839397	0.10798675	0.197337729	0.189408706	se	0.015073025	287	1.99	WRN
wrn-1-200uv-f12-r5-c2_S569_.processed.bam	G	0.027010725	0.118470228	0.205726752	0.198959443	se	0.03821666	331	2.28	WRN
wrn-1-200uv-f12-r5-c3_S570_.processed.bam	G	0.030494208	0.129509596	0.189198791	0.188364145	se	0.043368981	361	2.56	WRN
wrn-1-200uv-f12-r5-c4_S571_.processed.bam	G	0.029981307	0.101319659	0.188568608	0.184473425	se	0.020489001	364	2.52	WRN
wrn-1-200uv-f12-r5-c5_S572_.processed.bam	P	0.03722037	0.192694569	0.219614738	0.216975885	se	0.123625	420	3.14	WRN
wrn-1-200uv-f12-r5-c6_S573_.processed.bam	G	0.022727249	0.162258749	0.203759873	0.203540012	se	0.078282768	262	1.89	WRN
wrn-1-200uv-f12-r6-c1_S575_.processed.bam	G	0.012814637	0.127869497	0.194439494	0.189108787	se	0.013283527	157	1.09	WRN
wrn-1-200uv-f12-r6-c2_S576_.processed.bam	G	0.027122369	0.116840678	0.167296474	0.164683277	se	0.038295766	334	2.44	WRN
wrn-1-200uv-f12-r6-c3_S577_.processed.bam	G	0.017138369	0.114449307	0.186893633	0.184632887	se	0.023152141	233	1.58	WRN
wrn-1-200uv-f12-r6-c4_S578_.processed.bam	G	0.017022513	0.123243653	0.211977777	0.204986675	se	0.04149516	235	1.57	WRN
wrn-1-200uv-f12-r6-c5_S579_.processed.bam	G	0.022414102	0.105029009	0.195384919	0.188831614	se	0.034011287	304	2.04	WRN
blm-2-100uv-f01-r2-c4_S11_.processed.bam	E	0.000177324	0.740026596	0.25428022	0.241560596	se	0.063475546	2	0.02	BLM
blm-2-100uv-f01-r2-c5_S12_.processed.bam	E	0.000886034	0.463737309	0.253221968	0.248523489	se	0.061710398	10	0.08	BLM
blm-2-100uv-f01-r4-c3_S24_.processed.bam	E	0.000807838	0.505109535	0.251391816	0.245229896	se	0.083751161	9	0.07	BLM
blm-2-100uv-f01-r4-c6_S27_.processed.bam	E	0.001328662	0.518818717	0.239037091	0.22963725	se	0.235305999	14	0.12	BLM
blm-2-100uv-f01-r5-c2_S30_.processed.bam	E	0.000466581	0.641157424	0.233651564	0.221035392	se	0.267291911	5	0.04	BLM
blm-2-100uv-f01-r5-c4_S32_.processed.bam	E	0.000322484	0.681078604	0.260208324	0.255740045	se	0.072415237	3	0.03	BLM
blm-2-100uv-f01-r5-c6_S34_.processed.bam	E	0.000180816	0.729041525	0.264074252	0.251814622	se	0.108559499	2	0.02	BLM
blm-2-200uv-f02-r1-c1_S50_.processed.bam	E	0.000593303	0.525972047	0.254034581	0.249172236	se	0.053208996	6	0.05	BLM
blm-2-200uv-f02-r2-c2_S58_.processed.bam	E	0.001076845	0.726956565	0.243021096	0.211595693	se	0.20212766	7	0.1	BLM
blm-2-200uv-f02-r2-c4_S60_.processed.bam	E	0.000983205	0.541549205	0.246024304	0.234408783	se	0.101888021	9	0.09	BLM
blm-2-200uv-f02-r3-c1_S64_.processed.bam	E	0.000913422	0.505359339	0.247778432	0.243383903	se	0.04899886	9	0.08	BLM
blm-2-200uv-f02-r3-c3_S66_.processed.bam	E	0.000653783	0.528165948	0.255008536	0.247354643	se	0.0399348	7	0.06	BLM
blm-2-200uv-f02-r4-c2_S72_.processed.bam	E	0.000722716	0.577389013	0.256725183	0.25237912	se	0.073877695	8	0.07	BLM
blm-2-200uv-f02-r4-c4_S74_.processed.bam	E	0.000812539	0.49931189	0.252383266	0.247957271	se	0.106108312	9	0.07	BLM
blm-2-200uv-f02-r5-c1_S78_.processed.bam	E	0.00056012	0.601414535	0.255250616	0.250223573	se	0.053579176	6	0.05	BLM
blm-2-200uv-f02-r5-c6_S83_.processed.bam	E	0.000776382	0.495148948	0.2582766	0.255030808	se	0.083629893	9	0.07	BLM
blm-2-200uv-f02-r6-c4_S88_.processed.bam	E	0.000601724	0.678865392	0.2290015	0.208904249	se	0.438976378	5	0.06	BLM
blm-4-100uv-f03-r1-c1_S99_.processed.bam	E	0.000728018	0.55470123	0.256375829	0.252392463	se	0.134989201	8	0.07	BLM
blm-4-100uv-f03-r1-c2_S100_.processed.bam	E	0.00181954	0.652003554	0.236093369	0.207996877	se	0.210184182	13	0.17	BLM
blm-4-100uv-f03-r1-c4_S102_.processed.bam	E	0.001220885	0.328433975	0.247162518	0.24680085	se	0.030248233	15	0.11	BLM
blm-4-100uv-f03-r2-c4_S109_.processed.bam	E	0.00065642	0.555681463	0.248235295	0.241621399	se	0.07018101	7	0.06	BLM
blm-4-100uv-f03-r2-c5_S110_.processed.bam	E	0.00027409	0.708545078	0.259604832	0.251019184	se	0.265017668	3	0.03	BLM
blm-4-100uv-f03-r3-c3_S115_.processed.bam	E	0.001359943	0.470179346	0.239783065	0.229011621	se	0.042029728	13	0.13	BLM
blm-4-100uv-f03-r3-c4_S116_.processed.bam	E	0.001058918	0.4791047	0.247968985	0.242775418	se	0.151688746	11	0.1	BLM
blm-4-100uv-f03-r3-c6_S118_.processed.bam	E	0.000535466	0.628155483	0.235682865	0.228674247	se	0.092076569	5	0.05	BLM
blm-4-100uv-f03-r4-c2_S121_.processed.bam	E	0.001041505	0.518894758	0.238102867	0.232093378	se	0.057800858	11	0.09	BLM
blm-4-100uv-f03-r5-c1_S127_.processed.bam	E	0.000590897	0.565409704	0.243184604	0.237690702	se	0.067226891	6	0.05	BLM
blm-4-100uv-f03-r5-c3_S129_.processed.bam	E	0.001074957	0.489735429	0.251951642	0.243682492	se	0.094874372	11	0.1	BLM
blm-4-100uv-f03-r5-c6_S132_.processed.bam	E	0.000643756	0.491972987	0.262217225	0.260319313	se	0.042115903	7	0.06	BLM
blm-4-200uv-f04-r1-c4_S151_.processed.bam	E	0.000484346	0.611209964	0.251447402	0.243316155	se	0.09118541	5	0.05	BLM
blm-4-200uv-f04-r2-c1_S155_.processed.bam	E	0.002778881	0.422515289	0.239732661	0.22874509	se	0.032155672	25	0.24	BLM
blm-4-200uv-f04-r3-c6_S167_.processed.bam	E	0.000446957	0.583323615	0.247760513	0.239948066	se	0.058441558	4	0.04	BLM
blm-4-200uv-f04-r4-c2_S170_.processed.bam	E	0.00182474	0.459575927	0.24201607	0.233907927	se	0.150774063	18	0.16	BLM
blm-4-200uv-f04-r4-c3_S171_.processed.bam	E	0.000332022	0.656567272	0.250123004	0.244911028	se	0.212138085	3	0.03	BLM
blm-4-200uv-f04-r4-c6_S174_.processed.bam	E	0.003225322	0.668140645	0.233572847	0.201441762	se	0.289772727	21	0.28	BLM
