library	background	reads.per.mb	coverage
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well45_S486_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well44_S485_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well43_S484_.trimmed.mdup.bam	0.5	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well42_S483_.trimmed.mdup.bam	0	1	0.01
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well3_S444_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well36_S477_.trimmed.mdup.bam	0	1	0.01
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well35_S476_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well2_S443_.trimmed.mdup.bam	0	1	0.01
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well29_S470_.trimmed.mdup.bam	0.2	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well28_S469_.trimmed.mdup.bam	0.333333333333333	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well22_S463_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well21_S462_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well1_S442_.trimmed.mdup.bam	0	1	0.01
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well15_S456_.trimmed.mdup.bam	0.2	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well14_S455_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_cluster14_well41_S482_.trimmed.mdup.bam	0.024894287372523	186	1.35
zeid_BLM_UV300s_hoechst3_cluster14_well40_S481_.trimmed.mdup.bam	0.0374987271508782	497	3.48
zeid_BLM_UV300s_hoechst3_cluster14_well39_S480_.trimmed.mdup.bam	0.133720500110971	283	2.15
zeid_BLM_UV300s_hoechst3_cluster14_well38_S479_.trimmed.mdup.bam	0	637	4.69
