file	coverage	spikiness	evenness.mean	evenness.med	end.x	background	reads.per.mb.bpr	coverage.bpr	end.y	gene
blm-2-200uv-f02-r3-c4_S67_.processed.bam	0.0111459108808218	0.128945474010632	0.206112917566037	0.199765947056001	se	0.0144045938975133	148	1.02	se	BLM
blm-2-200uv-f02-r3-c5_S68_.processed.bam	0.0163371755235081	0.117044198022304	0.204314198471478	0.196218242231437	se	0.0143471028555586	217	1.5	se	BLM
blm-2-200uv-f02-r3-c6_S69_.processed.bam	0.0163338487595147	0.11698085208158	0.204083268608474	0.197768341422584	se	0.0130423474695551	216	1.49	se	BLM
blm-2-200uv-f02-r4-c1_S71_.processed.bam	0.0131428383672114	0.123200696397587	0.204426437772782	0.199248436039507	se	0.0140066037140634	175	1.21	se	BLM
blm-2-200uv-f02-r4-c3_S73_.processed.bam	0.0172878091820474	0.112135309970626	0.210524383168124	0.199836056748465	se	0.0201337086558761	231	1.57	se	BLM
blm-2-200uv-f02-r4-c5_S75_.processed.bam	0.0138046092442059	0.122917637822321	0.205287440404518	0.198845149651441	se	0.0188797986154814	181	1.25	se	BLM
blm-2-200uv-f02-r4-c6_S76_.processed.bam	0.018068533080977	0.113122022043361	0.219992335480273	0.209496600323795	se	0.0155838642770167	242	1.63	se	BLM
blm-2-200uv-f02-r5-c2_S79_.processed.bam	0.0157108935830204	0.119852664017088	0.210988624833489	0.199218484422686	se	0.0200140944326991	209	1.43	se	BLM
blm-2-200uv-f02-r5-c3_S80_.processed.bam	0.0168026216685076	0.120476630580338	0.238890665409838	0.22737053869585	se	0.0148446131618459	230	1.52	se	BLM
blm-2-200uv-f02-r5-c4_S81_.processed.bam	0.0154206539861651	0.117825482604766	0.205931505050417	0.200666725030089	se	0.0190078958774349	202	1.4	se	BLM
blm-2-200uv-f02-r5-c5_S82_.processed.bam	0.0168327930930134	0.119733070047616	0.221958345997486	0.210102622264511	se	0.0188324933357796	228	1.53	se	BLM
blm-2-200uv-f02-r6-c1_S85_.processed.bam	0.0155521644574311	0.120301203212123	0.205884035315577	0.198542743700587	se	0.0193150952440129	205	1.41	se	BLM
blm-2-200uv-f02-r6-c2_S86_.processed.bam	0.0121696867194151	0.120430393895557	0.209348162883449	0.200922281723684	se	0.0195803277612283	171	1.14	se	BLM
blm-2-200uv-f02-r6-c3_S87_.processed.bam	0.0101130442402903	0.131665376154653	0.198063052198025	0.197974316093351	se	0.0199591051973022	138	0.96	se	BLM
blm-2-200uv-f02-r6-c5_S89_.processed.bam	0.0115013924837083	0.130541814571863	0.217126336549304	0.211362464915828	se	0.0197396963123644	162	1.09	se	BLM
blm-4-100uv-f03-r1-c3_S101_.processed.bam	0.0131379842189708	0.148786375347711	0.210805991900934	0.203313786921322	se	0.0244083411912012	178	1.21	se	BLM
blm-4-100uv-f03-r1-c5_S103_.processed.bam	0.0117985245760243	0.141395296246043	0.208066510576799	0.207566976589376	se	0.0466009288762357	151	1.09	se	BLM
