file	RPM
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r3-c2_S406_.trimmed.mdup.bam	110
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r3-c3_S407_.trimmed.mdup.bam	37
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r3-c4_S408_.trimmed.mdup.bam	79
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r3-c5_S409_.trimmed.mdup.bam	149
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r3-c6_S410_.trimmed.mdup.bam	136
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r4-c2_S411_.trimmed.mdup.bam	50
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r4-c3_S412_.trimmed.mdup.bam	103
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r4-c4_S413_.trimmed.mdup.bam	138
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r4-c5_S414_.trimmed.mdup.bam	87
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r4-c6_S415_.trimmed.mdup.bam	116
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r5-c2_S416_.trimmed.mdup.bam	30
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r5-c3_S417_.trimmed.mdup.bam	106
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r5-c4_S418_.trimmed.mdup.bam	141
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r5-c5_S419_.trimmed.mdup.bam	121
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r5-c6_S420_.trimmed.mdup.bam	62
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r6-c3_S422_.trimmed.mdup.bam	39
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r6-c4_S423_.trimmed.mdup.bam	87
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r6-c5_S424_.trimmed.mdup.bam	80
